time,heat_load
0 sec,3902.694413
300 sec,6021.790979
600 sec,5905.497756
900 sec,5962.356596
1200 sec,5973.978658
1500 sec,5990.925436
1800 sec,5972.292515
2100 sec,6036.039172
2400 sec,6085.88255
2700 sec,6002.406947
3000 sec,5910.044346
3300 sec,6002.390339
3600 sec,5968.709398
3900 sec,5953.388532
4200 sec,5974.30515
4500 sec,5939.705814
4800 sec,5971.189433
5100 sec,5990.810524
5400 sec,5926.58023
5700 sec,5938.125559
6000 sec,5928.324186
6300 sec,5890.2547
6600 sec,5961.980682
6900 sec,6002.893309
7200 sec,5977.512936
7500 sec,5983.926331
7800 sec,5919.948127
8100 sec,5923.021328
8400 sec,5958.598274
8700 sec,5929.949121
9000 sec,5942.422653
9300 sec,5897.913573
9600 sec,5907.805883
9900 sec,5898.283322
10200 sec,5843.906752
10500 sec,5936.663994
10800 sec,5924.766435
11100 sec,5910.678838
11400 sec,5973.184365
11700 sec,5914.178199
12000 sec,5973.258783
12300 sec,5951.137445
12600 sec,5972.177056
12900 sec,6000.067317
13200 sec,5975.5939
13500 sec,5999.011364
13800 sec,5985.163078
14100 sec,5999.44815
14400 sec,5980.216565
14700 sec,5992.673234
15000 sec,5952.03866
15300 sec,5955.52434
15600 sec,5931.363445
15900 sec,6038.679079
16200 sec,6288.3777
16500 sec,6327.995708
16800 sec,6240.018052
17100 sec,6283.406552
17400 sec,6204.984544
17700 sec,6203.852137
18000 sec,6096.945952
18300 sec,6059.773101
18600 sec,6135.879801
18900 sec,6107.619213
19200 sec,6121.924462
19500 sec,6099.464392
19800 sec,6034.72563
20100 sec,6036.655212
20400 sec,6010.345283
20700 sec,6050.504301
21000 sec,6014.642592
21300 sec,6029.902073
21600 sec,5988.314058
21900 sec,5977.992121
22200 sec,5926.425995
22500 sec,5909.550509
22800 sec,5880.809025
23100 sec,5906.527431
23400 sec,5894.644073
23700 sec,3827.948616
24000 sec,3852.623655
24300 sec,3817.654934
24600 sec,3875.224144
24900 sec,3939.154263
25200 sec,3876.842961
25500 sec,3900.576477
25800 sec,3894.605134
26100 sec,3841.650373
26400 sec,3848.731219
26700 sec,3814.633748
27000 sec,3810.722196
27300 sec,3819.07878
27600 sec,3820.091198
27900 sec,3876.229007
28200 sec,3803.042718
28500 sec,3808.572847
28800 sec,3795.412166
29100 sec,3762.59371
29400 sec,3860.380185
29700 sec,3867.032203
30000 sec,3905.944313
30300 sec,3824.162058
30600 sec,3830.210218
30900 sec,3855.212668
31200 sec,3872.367274
31500 sec,3855.935876
31800 sec,3819.409331
32100 sec,3826.902427
32400 sec,3846.545149
32700 sec,3811.086268
33000 sec,3761.372686
33300 sec,3773.767869
33600 sec,3817.843209
33900 sec,3772.343004
34200 sec,3813.475433
34500 sec,3805.662285
34800 sec,3804.304741
35100 sec,3748.336998
35400 sec,3811.527725
35700 sec,3777.025335
36000 sec,3864.947293
36300 sec,3820.243795
36600 sec,3839.731304
36900 sec,3779.864062
37200 sec,3758.632746
37500 sec,3763.160018
37800 sec,3789.495469
38100 sec,3761.512253
38400 sec,3770.366422
38700 sec,3703.59821
39000 sec,3738.910107
39300 sec,3737.150929
39600 sec,3717.210329
39900 sec,3774.018742
40200 sec,3795.74864
40500 sec,3770.567544
40800 sec,3748.166351
41100 sec,3790.028234
41400 sec,3783.042022
41700 sec,5845.784833
42000 sec,5901.059646
42300 sec,3847.538996
42600 sec,5914.395004
42900 sec,5949.674549
43200 sec,5962.24127
43500 sec,5995.004265
43800 sec,6080.559869
44100 sec,6041.559115
